"","MasVnrArea","GarageYrBlt","MasVnrType","GarageType","GarageFinish","GarageQual","GarageCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","Electrical","MSZoning","Exterior1st","Exterior2nd","KitchenQual","SaleType","BsmtUnfSF","TotalBsmtSF","BsmtFullBath","GarageCars","GarageArea","BsmtFinSF1","Id","LotArea","LotShape","Neighborhood","HouseStyle","OverallQual","YearBuilt","YearRemodAdd","ExterQual","Foundation","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","FullBath","HalfBath","TotRmsAbvGrd","Fireplaces","PavedDrive","WoodDeckSF","OpenPorchSF","SaleCondition","SalePrice"
"43",0,1983,"None","Attchd","RFn","TA","Gd","Gd","TA","Av","ALQ","SBrkr","RL","HdBoard","HdBoard","Gd","WD",0,840,1,2,504,747,43,9180,"IR1","SawyerW","SFoyer",5,1983,1983,"TA","CBlock","Gd","Y",884,0,884,1,0,5,0,"Y",240,0,"Normal",11.8775755229785
"44",0,1977,"None","Detchd","Unf","TA","TA","Gd","TA","Av","LwQ","SBrkr","RL","VinylSd","VinylSd","TA","WD",167,938,1,1,308,280,44,9200,"IR1","CollgCr","1Story",5,1975,1980,"TA","CBlock","TA","Y",938,0,938,1,0,5,0,"Y",145,0,"Normal",11.7772186371293
"45",0,1959,"None","Attchd","RFn","TA","TA","TA","TA","No","ALQ","FuseA","RL","BrkFace","Wd Sdng","TA","WD",465,1150,1,1,300,179,45,7945,"Reg","NAmes","1Story",5,1959,1959,"TA","CBlock","Ex","Y",1150,0,1150,1,0,6,0,"Y",0,0,"Normal",11.8565222615337
"46",412,2005,"BrkFace","Attchd","RFn","TA","TA","Ex","TA","No","GLQ","SBrkr","RL","MetalSd","MetalSd","Ex","WD",1296,1752,1,2,576,456,46,7658,"Reg","NridgHt","1Story",9,2005,2005,"Ex","PConc","Ex","Y",1752,0,1752,2,0,6,1,"Y",196,82,"Normal",12.6757668519096
"47",0,2003,"None","Attchd","RFn","TA","TA","Ex","TA","No","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",83,1434,1,2,670,1351,47,12822,"IR1","Mitchel","1.5Fin",7,2003,2003,"Gd","PConc","Ex","Y",1518,631,2149,1,1,6,1,"Y",168,43,"Abnorml",12.387089184492
"48",0,2006,"None","Attchd","RFn","TA","TA","Gd","TA","Av","GLQ","SBrkr","FV","VinylSd","VinylSd","Gd","WD",1632,1656,0,3,826,24,48,11096,"Reg","Somerst","1Story",8,2006,2006,"Gd","PConc","Ex","Y",1656,0,1656,2,0,7,0,"Y",0,146,"Normal",12.4280194810656
"49",0,NA,"None","Attchd","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RM","MetalSd","MetalSd","TA","New",736,736,0,0,0,0,49,4456,"Reg","OldTown","2Story",4,1920,2008,"TA","BrkTil","Gd","Y",736,716,1452,2,0,8,0,"N",0,0,"Partial",11.6351519472128
"50",0,1966,"None","Attchd","Unf","TA","TA","TA","TA","No","BLQ","SBrkr","RL","HdBoard","HdBoard","TA","WD",192,955,1,1,386,763,50,7742,"Reg","Sawyer","1Story",5,1966,1966,"TA","CBlock","Ex","Y",955,0,955,1,0,6,0,"Y",0,0,"Normal",11.7519502394255
"51",0,1997,"None","Attchd","Fin","TA","TA","Gd","TA","Av","GLQ","SBrkr","RL","VinylSd","VinylSd","TA","WD",612,794,0,2,388,182,51,13869,"IR2","Gilbert","2Story",6,1997,1997,"TA","PConc","Gd","Y",794,676,1470,2,0,6,0,"Y",0,75,"Normal",12.0839106612575
"52",0,1985,"None","Detchd","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RM","Wd Sdng","Wd Sdng","TA","WD",816,816,0,2,528,0,52,6240,"Reg","BrkSide","1.5Fin",6,1934,1950,"TA","PConc","TA","Y",816,0,1176,1,0,6,1,"Y",112,0,"Normal",11.6483388355627
"53",0,1963,"None","CarPort","Unf","TA","TA","Gd","TA","Gd","LwQ","SBrkr","RM","Wd Sdng","Wd Sdng","TA","WD",0,816,1,2,516,104,53,8472,"IR2","IDOTRR","1Story",5,1963,1963,"Fa","CBlock","TA","N",816,0,816,1,0,5,0,"Y",106,0,"Normal",11.6082447356423
"54",0,1981,"None","Attchd","Fin","TA","TA","Ex","TA","Gd","GLQ","SBrkr","RL","WdShing","Wd Shng","Gd","WD",32,1842,2,3,894,1810,54,50271,"IR1","Veenker","1Story",9,1981,1987,"Gd","CBlock","Gd","Y",1842,0,1842,0,1,5,1,"Y",857,72,"Normal",12.8610012106691
"55",0,1962,"None","Detchd","Unf","TA","TA","TA","TA","No","ALQ","SBrkr","RL","MetalSd","MetalSd","TA","WD",0,384,0,2,572,384,55,7134,"Reg","NAmes","SLvl",5,1955,1955,"TA","CBlock","TA","Y",1360,0,1360,1,0,6,1,"Y",0,50,"Normal",11.7752974217158
"56",272,1964,"BrkFace","Attchd","RFn","TA","TA","TA","TA","No","BLQ","SBrkr","RL","HdBoard","Plywood","TA","WD",935,1425,0,2,576,490,56,10175,"IR1","NAmes","1Story",6,1964,1964,"TA","CBlock","Gd","Y",1425,0,1425,2,0,7,1,"Y",0,0,"Normal",12.1034915969059
"57",456,1999,"BrkFace","Attchd","Fin","TA","TA","Gd","TA","No","GLQ","SBrkr","FV","MetalSd","MetalSd","Gd","WD",321,970,1,2,480,649,57,2645,"Reg","Somerst","2Story",8,1999,2000,"Gd","PConc","Ex","Y",983,756,1739,2,1,7,0,"Y",115,0,"Abnorml",12.0581583125382
"58",0,2004,"None","Attchd","RFn","TA","TA","Gd","TA","No","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","WD",860,860,0,2,565,0,58,11645,"IR1","CollgCr","2Story",7,2004,2004,"Gd","PConc","Ex","Y",860,860,1720,2,1,7,0,"Y",0,70,"Normal",12.188422799337
"59",1031,2006,"BrkFace","BuiltIn","Fin","TA","TA","Ex","TA","Gd","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","New",1410,1410,0,3,641,0,59,13682,"IR2","StoneBr","2Story",10,2006,2006,"Ex","PConc","Ex","Y",1426,1519,2945,3,1,10,1,"Y",192,0,"Partial",12.9917557065369
"60",0,1973,"None","Detchd","Unf","TA","TA","TA","TA","Av","ALQ","SBrkr","RL","HdBoard","HdBoard","TA","WD",148,780,0,1,352,632,60,7200,"Reg","CollgCr","1Story",5,1972,1972,"TA","CBlock","Ex","Y",780,0,780,1,0,4,0,"Y",196,0,"Normal",11.7352767024867
"61",0,2006,"None","Detchd","Unf","TA","TA","Gd","TA","No","ALQ","SBrkr","RL","VinylSd","VinylSd","Gd","New",217,1158,1,2,576,941,61,13072,"Reg","SawyerW","1Story",6,2004,2004,"TA","PConc","Ex","Y",1158,0,1158,1,1,5,0,"Y",0,50,"Partial",11.970356641103
"62",0,1935,"None","Detchd","Unf","TA","TA","TA","Fa","No","Unf","SBrkr","RM","MetalSd","MetalSd","Fa","WD",530,530,0,1,288,0,62,7200,"Reg","IDOTRR","2.5Unf",5,1920,1996,"TA","BrkTil","TA","N",581,530,1111,1,0,6,0,"N",0,0,"Normal",11.5228856967645
"63",178,2006,"Stone","Attchd","RFn","TA","TA","Gd","Gd","Mn","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",1346,1370,0,2,484,24,63,6442,"IR1","NridgHt","1Story",8,2006,2006,"Gd","PConc","Ex","Y",1370,0,1370,2,0,6,1,"Y",120,49,"Normal",12.2185001037881
"64",0,1990,"None","Detchd","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RM","Stucco","Stucco","TA","WD",576,576,0,2,480,0,64,10300,"IR1","OldTown","2Story",7,1921,1950,"TA","BrkTil","Gd","Y",902,808,1710,2,0,9,0,"Y",12,11,"Normal",11.8494048444231
"65",573,1998,"BrkFace","Attchd","RFn","TA","TA","Gd","TA","No","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",318,1057,1,2,645,739,65,9375,"Reg","CollgCr","2Story",7,1997,1998,"TA","PConc","Ex","Y",1057,977,2034,2,1,8,0,"Y",576,36,"Normal",12.2991120672956
"66",344,2004,"BrkFace","BuiltIn","RFn","TA","TA","Ex","TA","Av","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","WD",1143,1143,0,3,852,0,66,9591,"Reg","NridgHt","2Story",8,2004,2005,"Gd","PConc","Ex","Y",1143,1330,2473,2,1,9,1,"Y",192,151,"Normal",12.6666602074286
"67",287,1970,"BrkFace","Attchd","RFn","TA","TA","Gd","TA","Gd","GLQ","SBrkr","RL","Plywood","Plywood","TA","WD",1035,1947,1,2,576,912,67,19900,"Reg","NAmes","1Story",7,1970,1989,"TA","CBlock","TA","Y",2207,0,2207,2,0,7,1,"Y",301,0,"Normal",12.1007176854125
"68",167,2003,"BrkFace","Attchd","RFn","TA","TA","Gd","TA","Av","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",440,1453,1,2,558,1013,68,10665,"IR1","CollgCr","1Story",7,2003,2003,"Gd","PConc","Ex","Y",1479,0,1479,2,0,7,0,"Y",144,29,"Normal",12.3282947030234
"69",0,1945,"None","Attchd","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RM","MetalSd","MetalSd","TA","WD",747,747,0,1,220,0,69,4608,"Reg","OldTown","1Story",4,1945,1950,"TA","CBlock","TA","Y",747,0,747,1,0,4,0,"Y",0,0,"Normal",11.2897944135779
"70",0,1953,"None","Attchd","Fin","TA","TA","TA","TA","No","BLQ","SBrkr","RL","BrkFace","AsbShng","TA","WD",701,1304,0,2,667,603,70,15593,"Reg","ClearCr","1.5Fin",7,1953,1953,"Gd","CBlock","TA","Y",1304,983,2287,2,0,7,1,"Y",0,21,"Normal",12.3238601256211
"71",1115,1973,"BrkFace","Attchd","Fin","TA","TA","Gd","TA","Gd","ALQ","SBrkr","RL","Plywood","Plywood","TA","WD",343,2223,1,2,516,1880,71,13651,"IR1","NAmes","1Story",7,1973,1973,"TA","CBlock","Ex","Y",2223,0,2223,2,0,8,2,"Y",300,0,"Normal",12.4049276026276
"72",0,1987,"None","Detchd","Unf","TA","TA","TA","TA","No","ALQ","SBrkr","RL","HdBoard","Plywood","TA","WD",280,845,1,2,360,565,72,7599,"Reg","Mitchel","1Story",4,1982,2006,"TA","CBlock","TA","Y",845,0,845,1,0,4,0,"Y",0,0,"Normal",11.7714438820996
"73",40,1998,"BrkFace","Attchd","Fin","TA","TA","Gd","TA","No","Unf","SBrkr","RL","VinylSd","VinylSd","TA","WD",832,832,0,2,427,0,73,10141,"IR1","Gilbert","2Story",7,1998,1998,"TA","PConc","Gd","Y",885,833,1718,2,1,7,1,"Y",0,94,"Normal",12.1281165094513
"74",104,1989,"BrkFace","Attchd","Unf","TA","TA","TA","TA","No","ALQ","SBrkr","RL","Wd Sdng","Wd Sdng","TA","WD",404,1086,1,2,490,320,74,10200,"Reg","NAmes","1Story",5,1954,2003,"TA","CBlock","Gd","Y",1086,0,1086,1,0,6,0,"Y",0,0,"Normal",11.8838060295962
"75",0,1915,"None","Detchd","Unf","TA","TA","Fa","TA","No","Unf","SBrkr","RM","VinylSd","VinylSd","TA","WD",840,840,0,1,379,0,75,5790,"Reg","OldTown","2Story",3,1915,1950,"Gd","CBlock","Gd","N",840,765,1605,2,0,8,0,"Y",0,0,"Normal",11.5843247720005
"76",0,1973,"None","BuiltIn","Unf","TA","TA","Gd","TA","Gd","GLQ","SBrkr","RM","CemntBd","CmentBd","TA","WD",0,462,1,1,297,462,76,1596,"Reg","MeadowV","SLvl",4,1973,1973,"TA","CBlock","TA","Y",526,462,988,1,0,5,0,"Y",120,101,"Normal",11.4186257744496
"77",0,1956,"None","Detchd","Unf","TA","TA","TA","TA","No","ALQ","FuseA","RL","VinylSd","VinylSd","TA","WD",724,952,0,1,283,228,77,8475,"IR1","NAmes","1Story",4,1956,1956,"TA","CBlock","Ex","Y",952,0,952,1,0,4,0,"Y",0,0,"Normal",11.8185776042516
"78",0,1948,"None","Detchd","Unf","TA","TA","TA","TA","No","BLQ","SBrkr","RM","Wd Sdng","Wd Sdng","TA","WD",295,672,1,1,240,336,78,8635,"Reg","BrkSide","1.5Fin",5,1948,2001,"TA","CBlock","TA","Y",1072,213,1285,1,0,6,0,"Y",0,0,"Normal",11.7519502394255
"79",0,NA,"None","Attchd","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RL","HdBoard","HdBoard","TA","WD",1768,1768,0,0,0,0,79,10778,"Reg","Sawyer","1Story",4,1968,1968,"TA","CBlock","TA","N",1768,0,1768,2,0,8,0,"Y",0,0,"Normal",11.8240872195876
"80",0,1966,"None","Detchd","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RM","Wd Sdng","Wd Sdng","TA","WD",440,440,0,2,440,0,80,10440,"Reg","OldTown","2Story",5,1910,1981,"TA","PConc","Gd","Y",682,548,1230,1,1,5,0,"Y",74,0,"Normal",11.6082447356423
"81",576,1968,"BrkFace","Attchd","Fin","TA","TA","Gd","TA","No","Rec","SBrkr","RL","VinylSd","VinylSd","Gd","WD",448,896,0,1,509,448,81,13000,"Reg","NAmes","2Story",6,1968,1968,"TA","CBlock","TA","Y",1182,960,2142,2,1,8,1,"Y",0,72,"Normal",12.1730379593973
"82",443,1998,"BrkFace","Attchd","Fin","TA","TA","Ex","Gd","No","GLQ","SBrkr","RM","VinylSd","VinylSd","TA","WD",36,1237,1,2,405,1201,82,4500,"Reg","Mitchel","1Story",6,1998,1998,"TA","PConc","Ex","Y",1337,0,1337,2,0,5,0,"Y",0,199,"Normal",11.9414623606461
